target RA Dec mean_ha_brightness max_ha_brightness priority
N44 05:22:20 -67:57:30 5.587627428571429e-16 2.5265173000000004e-15 1
30Dor 05:38:42 -69:05:55 6.446266012500001e-15 2.20825472e-14 4
S308 06:54:13 -23:55:42 1.9132929523809525e-16 3.4970250000000004e-16 2
RCW36 08:58:27 -43:44:14 4.500298476190477e-16 1.5293656e-15 2
Pencil 08:59:48 -45:59:18 3.8654834736842105e-16 5.755104000000001e-16 3
NGC3199 10:17:02 -57:54:46 1.28563961e-15 4.6433831e-15 1
RCW86 14:43:00 -62:27:30 2.8299734285714287e-16 3.137331e-16 2
G316.75 14:44:56.4 -59:51:20 1.7539464736842109e-16 2.5578240000000005e-16 3
W28 18:01:00 -23:17:00 1.0385239111111112e-15 1.5386910000000002e-15 1
M20 18:02:31 -22:57:57 3.7749155761904765e-15 2.07416879e-14 1
M8 18:03:37 -24:23:12 2.911865665714286e-14 5.75417146e-14 3
NGC6822 19:44:58 -14:48:12 2.5121485714285717e-17 5.928290000000001e-17 2
LMCclusters1 06:14:22.89 -69:50:50.6 6.290944444444445e-18 9.325400000000001e-18 4
LMCclusters2 05:30:00.28 -66:58:39.69 9.711738000000002e-17 2.571146e-16 4
LMCclusters3 05:28:44.71 -66:14:10.9 6.914118000000001e-17 1.9383510000000003e-16 4
OmegaCen 13:26:47.28 -47:28:46.10 8.074948636363637e-17 1.4987250000000003e-16 1
Baades 18:04:10.08 -30:02:02.30 1.860873052631579e-16 1.9916390000000003e-16 2
NGC6388 17:36:17.46 -44:44:08.34 4.80892480952381e-16 7.427015e-16 4
AV255 01:00:42.075 -71:31:12.25 4.7626150000000006e-17 1.125709e-16 4
AV435 01:08:17.9083 -71:59:54.358 1.4767992083333336e-16 6.514458e-16 3
DEM103 0:59:37.7176 -72:09:28.808 4.9571162e-16 2.4605734000000002e-15 4
